timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-04-15T10:00	baseline	lazycat-app-publisher	-	76.0	baseline	-	初始评估	dry_run
2026-04-15T10:05	round1	lazycat-app-publisher	76.0	78.0	keep	边界条件覆盖	添加构建/网络/运行时异常处理+兼容性警告+恢复流程+错误页面模板	dry_run
2026-04-15T10:10	round2	lazycat-app-publisher	78.0	80.0	keep	整体架构	添加Healthcheck快速参考章节，减少信息冗余	dry_run
2026-04-15T10:15	final	lazycat-app-publisher	-	80.0	confirmed	-	用户确认保留所有改进	dry_run
2026-04-16T09:30	b1c1cf7	lazycat-app-publisher	-	83.8	baseline	-	多入口添加后基线评估	dry_run
2026-04-16T09:35	5403484	lazycat-app-publisher	83.8	86.3	keep	实测表现	Quick Start添加多入口配置示例，减少references依赖	dry_run
2026-04-22T10:30	dfc2093	lazycat-app-publisher	86.3	88.0	keep	边界条件覆盖	添加Rule 8权限自动分析+binds路径映射表+检查点	dry_run
2026-05-12T10:00	e6c5bbc	lazycat-app-publisher	88.0	89.8	keep	多维度	v1.5.2更新（app-interconnect/resource-export/import_resources）+ 输入验证表 + CLI前置检查 + 触发词扩展	dry_run
2026-05-12T10:55	0e3622e	lazycat-app-publisher	89.8	92.3	keep	多维度	run_as(v1.6.0+) add: spec 4.5章节+strict-constraints+版本表+冲突警告；触发词扩展+docker/run_as/MCP 3项测试prompt全9-10分	full_test
2026-06-22T08:55	working-tree	lazycat-app-publisher	92.3	94.1	keep	失败模式+反例黑名单	新增通用版本更新脚本；多镜像必须显式选择service；发布走lzc-publish且默认不发布；dry-run覆盖单镜像、多镜像、发布和解析失败	dry_run
2026-06-22T10:30	auto-optimize/20260622-1030	lazycat-app-publisher	87.95	89.1	keep	实测表现	区分记忆值和用户指定的 service，修复边界 bug	full_test
2026-06-22T10:45	auto-optimize/20260622-1030	lazycat-app-publisher	89.1	86.8	revert	实测表现	补充多镜像处理流程指导（过度文档化）	full_test
